Date,Stock,Buy price,Units,Action,Total
"Oct 31, 2017",AMD,10.8,5,B,54
"Oct 31, 2017",Tesla,325,1,B,325
"Oct 31, 2017",Alibaba,183.69,1,B,183.69
"Oct 31, 2017",Broadcom,264.88,1,B,264.88
"Nov 6, 2017",Starbuck,55.93,1,B,55.93
"Nov 6, 2017",Tesla,307,3,B,921
"Nov 6, 2017",AMD,11.73,12,B,140.76
"Nov 10, 2017",NVIDIA,217.68,2,B,435.36
"Dec 27, 2017",NVIDIA,196.98,2,S,393.96
"Dec 27, 2017",Starbucks,57.19,1,S,57.19
"Dec 27, 2017",Broadcom,258.84,1,S,258.84
"Dec 27, 2017",Alibaba,172.18,1,S,172.18
"Dec 27, 2017",Tesla,316.21,4,S,1264.84
"Dec 27, 2017",AMD,10.45,17,S,177.65
"Feb 20, 2018",Arista,248,3,B,744
"Feb 28, 2018",Apple,180.08,3,B,540.24
"Feb 28, 2018",Alphabet,1119.45,1,B,1119.45
"March 7, 2018",Tesla,323.76,1,B,323.76
"March 7, 2018",Best Buy,74.28,2,B,148.56
"March 8, 2018",United Health,225.8,1,B,225.8
"March 8, 2018",Amazon,1550.3,1,B,1550.3
"March 9, 2018",Netflix,321.5,1,B,321.5
"March 9, 2018",Disney,104.1,2,B,208.2
"March 13, 2018",Alibaba,193.99,2,B,387.98
"March 14, 2018",Microsoft,95.18,1,B,95.18
"March 20, 2018",Facebook,167.5,1,B,167.5
"March 23, 2018",Alibaba,187,1,B,187
"March 26, 2018",Netflix,316.28,1,B,316.28
"March 28, 2018",JPMorgan,108.19,2,B,216.38
"April 9, 2018",SDPR,261.37,2,B,522.74
"April 9, 2018",Nasdaq,85.46,5,B,427.3
"April 19, 2018",Nasdaq,85.94,2,B,171.88
"April 19, 2018",Nasdaq,85.94,2,B,171.88
"April 20, 2018",SPDR,267.15,2,B,534.3
"May 1, 2018",SPDR,263.51,1,B,263.51
"May 1, 2018",GE,13.92,5,B,69.6
"May 25, 2018",Mastercard,190.51,2,B,381.02
"May 25, 2018",Visa,131.49,3,B,394.47
"June 5, 2018",IQIYI,29.5,10,B,295
"June 7, 2018",Canopy Growth,31.85,5,B,159.25
"June 7, 2018",IQIYI,29,1,B,29
"June 13, 2018",IQIYI,35.02,2,S,70.04
"June 13, 2018",Arista,276.59,2,S,553.18
"June 13, 2018",United Health,254.14,1,S,254.14
"June 13, 2018",Nasdaq,95.4,2,S,190.8
"June 13, 2018",Baozun,65.99,5,B,329.95
"June 15, 2018",IQIYI,40.49,2,B,80.98
"June 15, 2018",HUYA,44.49,8,B,355.92
"June 18, 2018",JD,45,5,B,225
"June 20, 2018",JD,41.65,2,B,83.3
"July 9, 2018",Netflix,415.8,1,S,415.8
"July 10, 2018",Chegg,29.1,3,B,87.3
"July 10, 2018",Square,66.03,1,B,66.03
"July 10, 2018",Coca-Cola,44.51,3,B,133.53
"July 10, 2018",HSBC,47.37,2,B,94.74
"July 10, 2018",HUYA,32.16,1,S,32.16
"July 11, 2018",Baozun,57.53,1,B,57.53
"July 13, 2018",L Brands,32.32,1,B,32.32
"July 13, 2018",Cato,21.66,4,B,86.64
"July 16, 2018",Funko,15.89,20,B,317.8
"July 17, 2018",Netflix,347,1,B,347
"July 17, 2018",IQIYI,36.28,2,B,72.56
"July 18, 2018",Beoing,360.66,1,B,360.66
"July 18, 2018",Netflix,379.3,1,B,379.3
