avg_price,created_at,fees,qty,side,simple_name,symbol,type
10.796,"30th Oct 2017, 3:19:26 pm",0,5,buy,AMD,AMD,market
325.8,"31st Oct 2017, 12:40:56 pm",0,1,buy,Tesla,TSLA,market
183.69,"31st Oct 2017, 1:18:50 pm",0,1,buy,Alibaba,BABA,market
264.88,"31st Oct 2017, 1:21:14 pm",0,1,buy,Broadcom,AVGO,market
307,"6th Nov 2017, 9:30:11 am",0,3,buy,Tesla,TSLA,market
55.93,"6th Nov 2017, 9:30:12 am",0,1,buy,Starbucks,SBUX,market
11.73,"6th Nov 2017, 9:35:21 am",0,12,buy,AMD,AMD,market
217.68,"10th Nov 2017, 2:20:16 pm",0,2,buy,NVIDIA,NVDA,market
196.98,"27th Dec 2017, 9:30:00 am",0.02,2,sell,NVIDIA,NVDA,market
10.45,"27th Dec 2017, 9:30:00 am",0.02,17,sell,AMD,AMD,market
57.19,"27th Dec 2017, 9:30:01 am",0.02,1,sell,Starbucks,SBUX,market
258.84,"27th Dec 2017, 9:30:01 am",0.02,1,sell,Broadcom,AVGO,market
172.18,"27th Dec 2017, 9:30:01 am",0.02,1,sell,Alibaba,BABA,market
316.21,"27th Dec 2017, 9:30:01 am",0.04,4,sell,Tesla,TSLA,market
248,"20th Feb 2018, 9:30:02 am",0,3,buy,Arista,ANET,market
180.08,"28th Feb 2018, 10:50:08 am",0,3,buy,Apple,AAPL,market
1119.45,"28th Feb 2018, 10:51:13 am",0,1,buy,Alphabet Class A,GOOGL,market
323.76,"7th Mar 2018, 10:04:46 am",0,1,buy,Tesla,TSLA,market
74.28,"7th Mar 2018, 10:06:25 am",0,2,buy,Best Buy,BBY,market
225.8,"8th Mar 2018, 9:31:31 am",0,1,buy,UnitedHealth,UNH,market
1550.3,"8th Mar 2018, 9:32:32 am",0,1,buy,Amazon,AMZN,market
321.5,"9th Mar 2018, 9:30:01 am",0,1,buy,Netflix,NFLX,market
104.1,"9th Mar 2018, 11:36:56 am",0,2,buy,Disney,DIS,market
193.99,"13th Mar 2018, 9:30:06 am",0,2,buy,Alibaba,BABA,market
95.18,"14th Mar 2018, 9:30:00 am",0,1,buy,Microsoft,MSFT,market
167.5,"20th Mar 2018, 9:30:01 am",0,1,buy,Facebook,FB,market
187,"23rd Mar 2018, 9:30:07 am",0,1,buy,Alibaba,BABA,market
316.28,"26th Mar 2018, 2:38:03 pm",0,1,buy,Netflix,NFLX,market
108.19,"28th Mar 2018, 9:30:05 am",0,2,buy,JPMorgan Chase,JPM,market
261.37,"9th Apr 2018, 9:30:00 am",0,2,buy,SPDR S&P 500 ETF,SPY,market
85.46,"9th Apr 2018, 9:30:02 am",0,5,buy,Nasdaq,NDAQ,market
85.94,"19th Apr 2018, 9:30:00 am",0,2,buy,Nasdaq,NDAQ,market
85.94,"19th Apr 2018, 9:30:00 am",0,2,buy,Nasdaq,NDAQ,market
267.15,"20th Apr 2018, 1:48:19 pm",0,2,buy,SPDR S&P 500 ETF,SPY,market
263.51,"1st May 2018, 9:44:46 am",0,1,buy,SPDR S&P 500 ETF,SPY,market
13.92,"1st May 2018, 9:45:09 am",0,5,buy,GE,GE,market
190.51,"25th May 2018, 10:59:33 am",0,2,buy,Mastercard,MA,market
131.49,"25th May 2018, 11:00:06 am",0,3,buy,Visa,V,market
29.5,"5th Jun 2018, 9:30:00 am",0,10,buy,iQIYI,IQ,market
29,"7th Jun 2018, 9:30:00 am",0,1,buy,iQIYI,IQ,market
31.85,"7th Jun 2018, 9:30:56 am",0,5,buy,Canopy Growth,CGC,market
254.14,"13th Jun 2018, 9:30:00 am",0.02,1,sell,UnitedHealth,UNH,market
35.02,"13th Jun 2018, 9:30:00 am",0.02,2,sell,iQIYI,IQ,market
276.59,"13th Jun 2018, 9:30:00 am",0.02,2,sell,Arista,ANET,market
95.4,"13th Jun 2018, 9:30:02 am",0.02,2,sell,Nasdaq,NDAQ,market
65.99,"13th Jun 2018, 10:17:56 am",0,5,buy,Baozun,BZUN,market
40.49,"15th Jun 2018, 9:30:02 am",0,2,buy,iQIYI,IQ,market
44.49,"15th Jun 2018, 9:30:02 am",0,8,buy,HUYA,HUYA,market
45,"18th Jun 2018, 9:30:01 am",0,5,buy,JD.com,JD,market
41.65,"20th Jun 2018, 1:19:05 pm",0,2,buy,JD.com,JD,market
415.8,"9th Jul 2018, 9:30:01 am",0.02,1,sell,Netflix,NFLX,market
44.51,"10th Jul 2018, 9:30:00 am",0,3,buy,Coca-Cola,KO,market
29.1,"10th Jul 2018, 9:30:00 am",0,3,buy,Chegg,CHGG,market
47.37,"10th Jul 2018, 9:30:00 am",0,2,buy,HSBC,HSBC,market
66.03,"10th Jul 2018, 9:30:44 am",0,1,buy,Square,SQ,market
32.16,"10th Jul 2018, 9:50:08 am",0.02,1,sell,HUYA,HUYA,market
57.53,"11th Jul 2018, 10:17:15 am",0,1,buy,Baozun,BZUN,market
21.66,"13th Jul 2018, 9:30:00 am",0,4,buy,Cato,CATO,market
