Date,Stock,Buy price,Units,Action,Total
2017-10-31,AMD,10.8,5,B,54
2017-10-31,Tesla,325,1,B,325
2017-10-31,Alibaba,183.69,1,B,183.69
2017-10-31,Broadcom,264.88,1,B,264.88
2017-11-06,Starbucks,55.93,1,B,55.93
2017-11-06,Tesla,307,3,B,921
2017-11-06,AMD,11.73,12,B,140.76
2017-11-10,NVIDIA,217.68,2,B,435.36
2017-12-27,NVIDIA,196.98,2,S,393.96
2017-12-27,Starbucks,57.19,1,S,57.19
2017-12-27,Broadcom,258.84,1,S,258.84
2017-12-27,Alibaba,172.18,1,S,172.18
2017-12-27,Tesla,316.21,4,S,1264.84
2017-12-27,AMD,10.45,17,S,177.65
2018-02-20,Arista,248,3,B,744
2018-02-28,Apple,180.08,3,B,540.24
2018-02-28,Alphabet,1119.45,1,B,1119.45
2018-03-07,Tesla,323.76,1,B,323.76
2018-03-07,Best Buy,74.28,2,B,148.56
2018-03-08,United Health,225.8,1,B,225.8
2018-03-08,Amazon,1550.3,1,B,1550.3
2018-03-09,Netflix,321.5,1,B,321.5
2018-03-09,Disney,104.1,2,B,208.2
2018-03-13,Alibaba,193.99,2,B,387.98
2018-03-14,Microsoft,95.18,1,B,95.18
2018-03-20,Facebook,167.5,1,B,167.5
2018-03-23,Alibaba,187,1,B,187
2018-03-26,Netflix,316.28,1,B,316.28
2018-03-28,JPMorgan,108.19,2,B,216.38
2018-04-09,SDPR,261.37,2,B,522.74
2018-04-09,Nasdaq,85.46,5,B,427.3
2018-04-19,Nasdaq,85.94,2,B,171.88
2018-04-19,Nasdaq,85.94,2,B,171.88
2018-04-20,SPDR,267.15,2,B,534.3
2018-05-01,SPDR,263.51,1,B,263.51
2018-05-01,GE,13.92,5,B,69.6
2018-05-25,Mastercard,190.51,2,B,381.02
2018-05-25,Visa,131.49,3,B,394.47
2018-06-05,IQIYI,29.5,10,B,295
2018-06-07,Canopy Growth,31.85,5,B,159.25
2018-06-07,IQIYI,29,1,B,29
2018-06-13,IQIYI,35.02,2,S,70.04
2018-06-13,Arista,276.59,2,S,553.18
2018-06-13,United Health,254.14,1,S,254.14
2018-06-13,Nasdaq,95.4,2,S,190.8
2018-06-13,Baozun,65.99,5,B,329.95
2018-06-15,IQIYI,40.49,2,B,80.98
2018-06-15,HUYA,44.49,8,B,355.92
2018-06-18,JD,45,5,B,225
2018-06-20,JD,41.65,2,B,83.3
2018-07-09,Netflix,415.8,1,S,415.8
2018-07-10,Chegg,29.1,3,B,87.3
2018-07-10,Square,66.03,1,B,66.03
2018-07-10,Coca-Cola,44.51,3,B,133.53
2018-07-10,HSBC,47.37,2,B,94.74
2018-07-10,HUYA,32.16,1,S,32.16
2018-07-11,Baozun,57.53,1,B,57.53
2018-07-13,L Brands,32.32,1,B,32.32
